graph_id,graph_edge_list
101,"[[7, 5], [7, 1], [7, 11], [7, 3], [7, 6], [7, 12], [5, 1], [5, 11], [5, 3], [5, 6], [5, 12], [0, 10], [0, 9], [0, 2], [0, 3], [0, 8], [0, 4], [11, 1], [11, 3], [11, 6], [11, 12], [3, 8], [3, 10], [3, 12], [3, 1], [3, 2], [3, 9], [3, 6], [3, 4], [10, 9], [10, 2], [10, 8], [10, 4], [12, 1], [12, 6], [1, 6], [2, 9], [2, 8], [2, 4], [9, 8], [9, 4], [8, 4]]"
1010,"[[5, 0], [5, 1], [5, 2], [5, 3], [5, 6], [5, 4], [0, 1], [0, 2], [0, 3], [0, 6], [0, 4], [1, 4], [1, 2], [1, 3], [2, 3], [2, 6], [2, 4], [3, 6], [3, 4], [6, 4]]"
1012,"[[1, 7], [1, 5], [1, 0], [1, 9], [1, 2], [1, 3], [1, 10], [1, 6], [1, 8], [1, 4], [7, 5], [7, 0], [7, 9], [7, 2], [7, 3], [7, 10], [7, 6], [7, 8], [7, 4], [5, 0], [5, 9], [5, 2], [5, 3], [5, 10], [5, 6], [5, 8], [5, 4], [0, 10], [0, 9], [0, 2], [0, 3], [0, 6], [0, 8], [0, 4], [9, 2], [9, 3], [9, 10], [9, 6], [9, 8], [9, 4], [2, 3], [2, 10], [2, 6], [2, 8], [2, 4], [3, 8], [3, 10], [3, 6], [3, 4], [10, 6], [10, 8], [10, 4], [6, 8], [6, 4], [8, 4]]"
1013,"[[7, 5], [7, 10], [7, 2], [7, 3], [7, 0], [7, 13], [7, 14], [7, 9], [7, 12], [7, 15], [7, 11], [7, 1], [7, 16], [7, 6], [7, 8], [7, 4], [5, 10], [5, 2], [5, 3], [5, 0], [5, 13], [5, 14], [5, 9], [5, 12], [5, 15], [5, 11], [5, 1], [5, 16], [5, 6], [5, 8], [5, 4], [0, 10], [0, 11], [0, 3], [0, 13], [0, 14], [0, 9], [0, 12], [0, 15], [0, 2], [0, 1], [0, 16], [0, 6], [0, 8], [0, 4], [2, 11], [2, 3], [2, 10], [2, 13], [2, 14], [2, 9], [2, 12], [2, 15], [2, 1], [2, 16], [2, 6], [2, 8], [2, 4], [3, 11], [3, 8], [3, 10], [3, 13], [3, 12], [3, 9], [3, 14], [3, 15], [3, 1], [3, 16], [3, 6], [3, 4], [10, 11], [10, 13], [10, 14], [10, 9], [10, 12], [10, 15], [10, 1], [10, 16], [10, 6], [10, 8], [10, 4], [13, 14], [13, 9], [13, 12], [13, 15], [13, 11], [13, 1], [13, 16], [13, 6], [13, 8], [13, 4], [14, 12], [14, 9], [14, 15], [14, 11], [14, 1], [14, 16], [14, 6], [14, 8], [14, 4], [9, 16], [9, 12], [9, 15], [9, 11], [9, 1], [9, 6], [9, 8], [9, 4], [12, 15], [12, 11], [12, 1], [12, 16], [12, 6], [12, 8], [12, 4], [15, 11], [15, 1], [15, 16], [15, 6], [15, 8], [15, 4], [11, 1], [11, 16], [11, 6], [11, 8], [11, 4], [1, 16], [1, 6], [1, 8], [1, 4], [16, 6], [16, 8], [16, 4], [6, 8], [6, 4], [8, 4]]"
1015,"[[7, 1], [7, 5], [7, 10], [7, 9], [7, 11], [7, 3], [7, 2], [7, 12], [7, 4], [5, 1], [5, 10], [5, 9], [5, 11], [5, 3], [5, 2], [5, 12], [5, 4], [0, 6], [0, 12], [0, 10], [0, 1], [0, 11], [0, 8], [0, 2], [0, 13], [0, 14], [11, 2], [11, 3], [11, 10], [11, 13], [11, 14], [11, 1], [11, 12], [11, 9], [11, 6], [11, 8], [11, 4], [3, 1], [3, 9], [3, 2], [3, 10], [3, 12], [3, 4], [10, 1], [10, 9], [10, 2], [10, 12], [10, 4], [13, 12], [13, 1], [13, 2], [13, 8], [13, 6], [13, 14], [14, 6], [14, 1], [14, 2], [14, 8], [14, 12], [9, 1], [9, 2], [9, 6], [9, 12], [9, 4], [12, 1], [12, 2], [12, 6], [12, 8], [12, 4], [2, 1], [2, 6], [2, 8], [2, 4], [1, 6], [1, 8], [1, 4], [6, 8]]"
1016,"[[7, 5], [7, 0], [7, 1], [7, 2], [7, 3], [7, 6], [7, 4], [5, 0], [5, 1], [5, 2], [5, 3], [5, 6], [5, 4], [0, 1], [0, 2], [0, 3], [0, 6], [0, 4], [1, 2], [1, 3], [1, 6], [1, 4], [2, 3], [2, 6], [2, 4], [3, 6], [3, 4], [6, 4]]"
1017,"[[7, 5], [7, 16], [7, 15], [7, 0], [7, 11], [7, 3], [7, 10], [7, 13], [7, 12], [7, 9], [7, 18], [7, 14], [7, 17], [7, 19], [7, 1], [7, 2], [7, 6], [7, 8], [7, 4], [5, 16], [5, 15], [5, 0], [5, 11], [5, 3], [5, 10], [5, 13], [5, 12], [5, 9], [5, 18], [5, 14], [5, 17], [5, 19], [5, 1], [5, 2], [5, 6], [5, 8], [5, 4], [15, 11], [15, 0], [15, 2], [15, 3], [15, 10], [15, 13], [15, 12], [15, 9], [15, 18], [15, 14], [15, 17], [15, 19], [15, 1], [15, 16], [15, 6], [15, 8], [15, 4], [11, 0], [11, 2], [11, 3], [11, 10], [11, 13], [11, 12], [11, 9], [11, 18], [11, 14], [11, 17], [11, 19], [11, 1], [11, 16], [11, 6], [11, 8], [11, 4], [0, 16], [0, 10], [0, 3], [0, 13], [0, 12], [0, 9], [0, 18], [0, 14], [0, 17], [0, 19], [0, 1], [0, 2], [0, 6], [0, 8], [0, 4], [2, 3], [2, 10], [2, 13], [2, 12], [2, 9], [2, 18], [2, 14], [2, 17], [2, 19], [2, 1], [2, 16], [2, 6], [2, 8], [2, 4], [3, 8], [3, 10], [3, 13], [3, 12], [3, 9], [3, 18], [3, 14], [3, 17], [3, 1], [3, 4], [3, 16], [3, 6], [3, 19], [10, 19], [10, 13], [10, 12], [10, 9], [10, 18], [10, 14], [10, 17], [10, 1], [10, 16], [10, 6], [10, 8], [10, 4], [13, 12], [13, 9], [13, 18], [13, 14], [13, 17], [13, 19], [13, 1], [13, 16], [13, 6], [13, 8], [13, 4], [12, 14], [12, 9], [12, 18], [12, 17], [12, 19], [12, 1], [12, 16], [12, 6], [12, 8], [12, 4], [9, 16], [9, 18], [9, 14], [9, 17], [9, 19], [9, 1], [9, 6], [9, 8], [9, 4], [18, 14], [18, 17], [18, 19], [18, 1], [18, 16], [18, 6], [18, 8], [18, 4], [14, 17], [14, 19], [14, 1], [14, 16], [14, 6], [14, 8], [14, 4], [17, 19], [17, 1], [17, 16], [17, 6], [17, 8], [17, 4], [19, 1], [19, 16], [19, 6], [19, 8], [19, 4], [1, 16], [1, 4], [1, 6], [1, 8], [16, 6], [16, 8], [16, 4], [6, 8], [6, 4], [8, 4]]"
1018,"[[7, 5], [7, 0], [7, 1], [7, 2], [7, 3], [7, 6], [7, 4], [5, 0], [5, 1], [5, 2], [5, 3], [5, 6], [5, 4], [0, 1], [0, 2], [0, 3], [0, 6], [0, 4], [1, 2], [1, 3], [1, 6], [1, 4], [2, 3], [2, 6], [2, 4], [3, 6], [3, 4], [6, 4]]"
1019,"[[7, 5], [7, 0], [7, 1], [7, 2], [7, 3], [7, 6], [7, 4], [5, 0], [5, 1], [5, 2], [5, 3], [5, 6], [5, 4], [0, 1], [0, 2], [0, 3], [0, 6], [0, 4], [1, 2], [1, 3], [1, 6], [1, 4], [2, 3], [2, 6], [2, 4], [3, 6], [3, 4], [6, 4]]"
1021,"[[1, 9], [1, 2], [1, 8], [1, 5], [1, 3], [7, 3], [7, 0], [7, 6], [7, 4], [5, 9], [5, 3], [5, 8], [5, 2], [0, 6], [0, 3], [0, 4], [9, 2], [9, 3], [9, 8], [2, 8], [2, 3], [3, 8], [3, 6], [3, 4], [6, 4]]"
1022,"[[7, 5], [7, 15], [7, 0], [7, 3], [7, 13], [7, 24], [7, 1], [7, 18], [7, 12], [7, 19], [7, 9], [7, 21], [7, 22], [7, 20], [7, 10], [7, 11], [7, 14], [7, 17], [7, 2], [7, 16], [7, 23], [7, 6], [7, 8], [7, 4], [5, 15], [5, 0], [5, 3], [5, 13], [5, 24], [5, 1], [5, 18], [5, 12], [5, 19], [5, 9], [5, 21], [5, 22], [5, 20], [5, 10], [5, 11], [5, 14], [5, 17], [5, 2], [5, 16], [5, 23], [5, 6], [5, 8], [5, 4], [15, 20], [15, 0], [15, 11], [15, 8], [15, 10], [15, 13], [15, 12], [15, 9], [15, 18], [15, 14], [15, 17], [15, 19], [15, 1], [15, 23], [15, 2], [15, 21], [15, 4], [0, 20], [0, 17], [0, 10], [0, 11], [0, 8], [0, 13], [0, 12], [0, 9], [0, 18], [0, 14], [0, 19], [0, 1], [0, 23], [0, 2], [0, 21], [0, 4], [3, 20], [3, 10], [3, 13], [3, 14], [3, 24], [3, 18], [3, 16], [3, 23], [3, 6], [3, 22], [3, 21], [13, 24], [13, 1], [13, 18], [13, 12], [13, 19], [13, 9], [13, 21], [13, 22], [13, 20], [13, 10], [13, 11], [13, 14], [13, 17], [13, 2], [13, 16], [13, 23], [13, 6], [13, 8], [13, 4], [24, 20], [24, 10], [24, 14], [24, 18], [24, 16], [24, 23], [24, 6], [24, 22], [24, 21], [9, 20], [9, 11], [9, 8], [9, 10], [9, 12], [9, 18], [9, 14], [9, 17], [9, 19], [9, 1], [9, 23], [9, 2], [9, 21], [9, 4], [18, 1], [18, 12], [18, 19], [18, 21], [18, 22], [18, 20], [18, 10], [18, 11], [18, 14], [18, 17], [18, 2], [18, 16], [18, 23], [18, 6], [18, 8], [18, 4], [12, 20], [12, 17], [12, 11], [12, 2], [12, 8], [12, 10], [12, 14], [12, 19], [12, 1], [12, 23], [12, 21], [12, 4], [19, 20], [19, 11], [19, 8], [19, 10], [19, 14], [19, 1], [19, 17], [19, 2], [19, 23], [19, 21], [19, 4], [1, 20], [1, 11], [1, 8], [1, 10], [1, 14], [1, 17], [1, 23], [1, 2], [1, 21], [1, 4], [21, 22], [21, 20], [21, 10], [21, 11], [21, 14], [21, 17], [21, 2], [21, 16], [21, 23], [21, 6], [21, 8], [21, 4], [22, 20], [22, 10], [22, 14], [22, 16], [22, 23], [22, 6], [20, 10], [20, 11], [20, 14], [20, 17], [20, 2], [20, 16], [20, 23], [20, 6], [20, 8], [20, 4], [10, 11], [10, 14], [10, 17], [10, 2], [10, 16], [10, 23], [10, 6], [10, 8], [10, 4], [11, 17], [11, 2], [11, 8], [11, 14], [11, 23], [11, 4], [14, 17], [14, 2], [14, 16], [14, 23], [14, 6], [14, 8], [14, 4], [17, 2], [17, 8], [17, 23], [17, 4], [2, 8], [2, 23], [2, 6], [2, 4], [16, 23], [16, 6], [23, 6], [23, 8], [23, 4], [8, 4]]"
1023,"[[5, 0], [5, 1], [5, 2], [5, 3], [5, 6], [5, 4], [0, 1], [0, 2], [0, 3], [0, 6], [0, 4], [1, 2], [1, 3], [1, 6], [1, 4], [2, 3], [2, 6], [2, 4], [3, 6], [3, 4], [6, 4]]"
1024,"[[5, 0], [5, 1], [5, 2], [5, 3], [5, 6], [5, 4], [0, 1], [0, 2], [0, 3], [0, 6], [0, 4], [1, 2], [1, 3], [1, 6], [1, 4], [2, 3], [2, 6], [2, 4], [3, 6], [3, 4], [6, 4]]"
1025,"[[7, 5], [7, 0], [7, 1], [7, 2], [7, 3], [7, 6], [7, 8], [7, 4], [5, 0], [5, 1], [5, 2], [5, 3], [5, 6], [5, 8], [5, 4], [0, 1], [0, 2], [0, 3], [0, 6], [0, 8], [0, 4], [1, 2], [1, 3], [1, 6], [1, 8], [1, 4], [2, 3], [2, 6], [2, 8], [2, 4], [3, 8], [3, 6], [3, 4], [6, 8], [6, 4], [8, 4]]"
1027,"[[7, 5], [7, 0], [7, 1], [7, 2], [7, 3], [7, 6], [7, 8], [7, 4], [5, 0], [5, 1], [5, 2], [5, 3], [5, 6], [5, 8], [5, 4], [0, 1], [0, 2], [0, 3], [0, 6], [0, 8], [0, 4], [1, 2], [1, 3], [1, 6], [1, 8], [1, 4], [2, 3], [2, 6], [2, 8], [2, 4], [3, 8], [3, 6], [3, 4], [6, 8], [6, 4], [8, 4]]"
1028,"[[7, 5], [7, 0], [7, 1], [7, 2], [7, 3], [7, 6], [7, 4], [5, 0], [5, 1], [5, 2], [5, 3], [5, 6], [5, 4], [0, 1], [0, 2], [0, 3], [0, 6], [0, 4], [1, 2], [1, 3], [1, 6], [1, 4], [2, 3], [2, 6], [2, 4], [3, 6], [3, 4], [6, 4]]"
1029,"[[5, 0], [5, 1], [5, 2], [5, 3], [5, 6], [5, 4], [0, 1], [0, 2], [0, 3], [0, 6], [0, 4], [1, 2], [1, 3], [1, 6], [1, 4], [2, 3], [2, 6], [2, 4], [3, 6], [3, 4], [6, 4]]"
103,"[[5, 0], [5, 1], [5, 2], [5, 3], [5, 6], [5, 4], [0, 1], [0, 2], [0, 3], [0, 6], [0, 4], [1, 2], [1, 3], [1, 6], [1, 4], [2, 3], [2, 6], [2, 4], [3, 6], [3, 4], [6, 4]]"
1030,"[[5, 0], [5, 1], [5, 2], [5, 3], [5, 6], [5, 4], [0, 1], [0, 2], [0, 3], [0, 6], [0, 4], [1, 2], [1, 3], [1, 6], [1, 4], [2, 3], [2, 6], [2, 4], [3, 6], [3, 4], [6, 4]]"
1031,"[[5, 0], [5, 1], [5, 2], [5, 3], [5, 6], [5, 4], [0, 1], [0, 2], [0, 3], [0, 6], [0, 4], [1, 2], [1, 3], [1, 6], [1, 4], [2, 3], [2, 6], [2, 4], [3, 6], [3, 4], [6, 4]]"
1033,"[[1, 7], [1, 5], [1, 0], [1, 9], [1, 2], [1, 3], [1, 6], [1, 8], [1, 4], [7, 5], [7, 0], [7, 9], [7, 2], [7, 3], [7, 6], [7, 8], [7, 4], [5, 0], [5, 9], [5, 2], [5, 3], [5, 6], [5, 8], [5, 4], [0, 9], [0, 2], [0, 3], [0, 6], [0, 8], [0, 4], [9, 2], [9, 3], [9, 6], [9, 8], [9, 4], [2, 3], [2, 6], [2, 8], [2, 4], [3, 8], [3, 6], [3, 4], [6, 8], [6, 4], [8, 4]]"
1034,"[[7, 5], [7, 0], [7, 1], [7, 2], [7, 3], [7, 6], [7, 8], [7, 4], [5, 0], [5, 1], [5, 2], [5, 3], [5, 6], [5, 8], [5, 4], [0, 1], [0, 2], [0, 3], [0, 6], [0, 8], [0, 4], [1, 2], [1, 3], [1, 6], [1, 8], [1, 4], [2, 3], [2, 6], [2, 8], [2, 4], [3, 8], [3, 6], [3, 4], [6, 8], [6, 4], [8, 4]]"
