graph_id,graph_edge_list,node_labels
15842,"[[7, 6], [3, 2], [3, 6], [3, 4], [5, 0], [5, 4], [8, 6], [1, 0], [1, 2]]","['C', 'C', 'C', 'C', 'C', 'N', 'P', 'O', 'O']"
15843,"[[7, 5], [3, 5], [3, 4], [3, 2], [5, 6], [1, 0], [1, 2], [0, 4]]","['C', 'C', 'S', 'C', 'C', 'P', 'O', 'O']"
15844,"[[7, 5], [3, 4], [3, 2], [5, 6], [5, 4], [1, 0], [1, 2], [0, 4]]","['C', 'C', 'S', 'C', 'C', 'P', 'O', 'O']"
15874,"[[7, 5], [7, 8], [7, 9], [3, 4], [3, 2], [5, 0], [5, 4], [6, 2], [1, 0], [1, 2]]","['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'O', 'C']"
1621,"[[7, 2], [3, 1], [5, 1], [8, 6], [6, 2], [1, 0], [1, 4], [0, 2]]","['C', 'S', 'C', 'O', 'O', 'O', 'C', 'C', 'O']"
1622,"[[7, 4], [3, 0], [5, 1], [6, 2], [1, 0], [1, 4], [0, 2]]","['C', 'C', 'N', 'N', 'N', 'N', 'N', 'N']"
1626,"[[7, 5], [3, 5], [3, 1], [5, 6], [6, 4], [1, 0], [1, 2], [1, 4]]","['C', 'C', 'C', 'N', 'C', 'C', 'O', 'O']"
16369,"[[7, 6], [3, 4], [3, 2], [5, 1], [5, 8], [5, 6], [5, 9], [6, 2], [1, 0], [1, 2], [0, 4]]","['S', 'C', 'N', 'C', 'C', 'C', 'C', 'O', 'C', 'C']"
164,"[[3, 5], [3, 1], [5, 4], [1, 0], [1, 2], [4, 2]]","['N', 'C', 'N', 'S', 'C', 'C']"
1640,"[[7, 6], [3, 1], [5, 1], [8, 6], [6, 2], [1, 0], [1, 4], [0, 2]]","['C', 'S', 'C', 'O', 'O', 'O', 'C', 'N', 'O']"
165,"[[7, 5], [7, 8], [7, 6], [3, 5], [3, 2], [6, 4], [1, 0], [0, 2], [4, 2]]","['N', 'O', 'C', 'C', 'C', 'C', 'C', 'C', 'O']"
16585,"[[7, 6], [3, 4], [3, 2], [5, 4], [8, 6], [6, 4], [6, 9], [1, 0], [1, 2]]","['C', 'C', 'C', 'C', 'C', 'Br', 'Si', 'C', 'C', 'C']"
16597,"[[7, 1], [7, 2], [3, 4], [3, 2], [5, 6], [5, 4], [1, 0]]","['C', 'O', 'C', 'C', 'C', 'C', 'O', 'C']"
16602,"[[7, 5], [3, 2], [5, 6], [5, 4], [8, 1], [6, 0], [1, 0], [1, 2], [1, 9], [4, 2]]","['N', 'C', 'C', 'O', 'N', 'C', 'N', 'S', 'C', 'C']"
16637,"[[7, 0], [7, 8], [7, 6], [3, 2], [3, 4], [3, 9], [5, 6], [5, 4], [1, 0], [1, 2], [0, 4]]","['N', 'C', 'C', 'C', 'N', 'C', 'C', 'C', 'O', 'O']"
16872,"[[7, 6], [7, 9], [3, 1], [3, 8], [3, 6], [5, 2], [1, 0], [1, 2], [0, 4]]","['C', 'N', 'C', 'N', 'C', 'C', 'N', 'O', 'O', 'C']"
1688,"[[7, 3], [7, 4], [3, 0], [5, 1], [5, 6], [6, 2], [1, 0], [1, 4], [0, 2]]","['C', 'N', 'C', 'N', 'C', 'N', 'C', 'C']"
1703,"[[7, 2], [3, 1], [5, 1], [6, 2], [1, 0], [1, 4], [0, 2]]","['C', 'S', 'C', 'O', 'O', 'O', 'C', 'O']"
171,"[[7, 6], [3, 1], [5, 1], [6, 2], [1, 0], [1, 4], [0, 2]]","['C', 'S', 'C', 'O', 'O', 'O', 'C', 'C']"
1711,"[[7, 8], [7, 4], [7, 9], [3, 0], [5, 2], [6, 2], [1, 0], [1, 4], [0, 2]]","['C', 'C', 'C', 'C', 'S', 'N', 'O', 'C', 'N', 'N']"
17221,"[[3, 4], [3, 2], [5, 0], [5, 6], [1, 0], [1, 2], [0, 4]]","['C', 'N', 'N', 'S', 'C', 'C', 'C']"
1731,"[[7, 2], [3, 1], [5, 1], [8, 6], [6, 2], [1, 0], [1, 4], [0, 2]]","['C', 'S', 'C', 'O', 'O', 'O', 'C', 'O', 'Cl']"
17586,"[[7, 0], [7, 8], [7, 9], [3, 1], [3, 4], [5, 0], [5, 4], [6, 4], [1, 0], [1, 2]]","['C', 'C', 'O', 'O', 'C', 'N', 'C', 'C', 'C', 'C']"
1763,"[[7, 4], [3, 5], [3, 1], [5, 8], [5, 9], [6, 4], [1, 0], [0, 2], [4, 2]]","['S', 'S', 'C', 'C', 'C', 'C', 'O', 'O', 'O', 'O']"
1768,"[[7, 8], [7, 4], [3, 0], [3, 5], [3, 4], [5, 8], [6, 4], [1, 0], [0, 2]]","['N', 'O', 'O', 'C', 'C', 'N', 'S', 'N', 'C']"
18104,"[[3, 4], [3, 2], [5, 4], [1, 0], [1, 2], [0, 4]]","['P', 'C', 'C', 'N', 'C', 'C']"
1828,"[[7, 8], [7, 4], [3, 5], [3, 6], [3, 1], [5, 4], [8, 6], [1, 0], [1, 2], [4, 2]]","['O', 'C', 'O', 'C', 'C', 'O', 'C', 'C', 'C']"
18530,"[[7, 6], [3, 4], [3, 2], [5, 6], [5, 4], [8, 6], [6, 9], [1, 0], [1, 2]]","['N', 'C', 'C', 'C', 'C', 'C', 'S', 'O', 'O', 'O']"
1855,"[[7, 5], [7, 8], [3, 1], [5, 2], [8, 6], [6, 2], [1, 0], [1, 4], [0, 2]]","['C', 'N', 'C', 'C', 'C', 'C', 'C', 'C', 'C']"
1856,"[[7, 5], [3, 1], [5, 8], [5, 2], [8, 9], [6, 2], [6, 9], [1, 0], [1, 4], [0, 2]]","['C', 'N', 'C', 'C', 'C', 'C', 'C', 'O', 'C', 'C']"
1860,"[[7, 3], [7, 8], [3, 0], [5, 1], [5, 9], [8, 4], [6, 2], [6, 9], [1, 0], [1, 4], [0, 2]]","['N', 'N', 'C', 'C', 'C', 'C', 'N', 'N', 'N', 'N']"
1884,"[[3, 5], [3, 1], [5, 6], [6, 4], [1, 0], [1, 2], [4, 2]]","['O', 'S', 'C', 'S', 'C', 'C', 'C']"
18877,"[[7, 6], [3, 4], [3, 2], [5, 6], [5, 4], [8, 6], [1, 0], [1, 2]]","['N', 'C', 'C', 'S', 'C', 'C', 'C', 'O', 'O']"
18881,"[[7, 6], [3, 5], [3, 4], [3, 1], [5, 8], [5, 6], [8, 9], [1, 0], [1, 2]]","['C', 'C', 'O', 'C', 'O', 'N', 'C', 'C', 'C', 'C']"
18930,"[[7, 8], [7, 6], [3, 5], [3, 4], [3, 1], [5, 6], [1, 0], [1, 2]]","['C', 'C', 'O', 'C', 'N', 'N', 'C', 'C', 'C']"
18977,"[[7, 4], [3, 2], [3, 6], [3, 4], [5, 0], [5, 8], [5, 4], [8, 9], [1, 0], [1, 2]]","['O', 'C', 'C', 'C', 'C', 'C', 'O', 'O', 'C', 'C']"
19439,"[[3, 1], [3, 4], [5, 0], [1, 0], [1, 2]]","['C', 'C', 'I', 'C', 'Br', 'C']"
1967,"[[7, 6], [7, 4], [3, 1], [3, 6], [5, 2], [5, 9], [8, 4], [8, 9], [1, 0], [1, 2], [4, 2]]","['N', 'C', 'C', 'N', 'C', 'N', 'N', 'N', 'N', 'C']"
1969,"[[7, 5], [7, 4], [3, 5], [3, 1], [5, 8], [6, 4], [1, 0], [1, 2], [4, 2]]","['Cl', 'B', 'N', 'N', 'B', 'B', 'Cl', 'N', 'Cl']"
1973,"[[7, 8], [7, 4], [3, 1], [5, 8], [5, 2], [6, 4], [1, 0], [0, 2], [4, 2]]","['C', 'C', 'N', 'Cl', 'C', 'N', 'N', 'N', 'N']"
1980,"[[7, 3], [7, 5], [7, 9], [3, 1], [3, 6], [5, 8], [5, 2], [1, 0], [1, 2], [4, 2]]","['O', 'C', 'C', 'N', 'O', 'N', 'C', 'C', 'C', 'O']"
1989,"[[7, 8], [7, 4], [7, 9], [3, 6], [3, 2], [5, 8], [5, 2], [1, 0], [0, 2], [4, 2]]","['C', 'O', 'C', 'C', 'N', 'C', 'O', 'C', 'O', 'O']"
1990,"[[7, 3], [3, 1], [3, 8], [3, 9], [5, 2], [6, 2], [1, 0], [0, 2], [4, 2]]","['C', 'C', 'N', 'S', 'C', 'C', 'C', 'O', 'O', 'O']"
20115,"[[7, 8], [7, 6], [3, 0], [3, 4], [5, 4], [6, 0], [1, 0], [1, 2]]","['C', 'C', 'N', 'N', 'C', 'C', 'N', 'C', 'C']"
2012,"[[7, 6], [3, 0], [5, 2], [8, 6], [6, 4], [1, 0], [1, 4], [0, 2]]","['C', 'N', 'N', 'S', 'N', 'N', 'C', 'N', 'O']"
2027,"[[7, 8], [7, 4], [3, 1], [3, 6], [5, 8], [5, 2], [8, 6], [1, 0], [1, 2], [1, 4]]","['C', 'C', 'C', 'C', 'C', 'O', 'O', 'O', 'P']"
2028,"[[7, 6], [7, 4], [3, 0], [3, 6], [5, 2], [5, 8], [5, 9], [8, 4], [6, 9], [1, 0], [1, 4], [0, 2]]","['C', 'C', 'C', 'O', 'C', 'C', 'P', 'O', 'C', 'O']"
20448,"[[7, 4], [3, 4], [3, 2], [5, 0], [5, 6], [5, 4], [1, 0], [0, 2]]","['C', 'O', 'C', 'C', 'C', 'C', 'O', 'O']"
20452,"[[7, 0], [7, 8], [3, 1], [3, 8], [5, 6], [5, 4], [6, 2], [1, 0], [1, 2], [1, 4], [0, 2]]","['N', 'C', 'N', 'C', 'C', 'C', 'C', 'C', 'C']"
20477,"[[7, 5], [3, 2], [5, 8], [5, 6], [5, 4], [1, 0], [1, 2], [4, 2]]","['O', 'C', 'C', 'O', 'C', 'As', 'O', 'O', 'O']"
2050,"[[7, 5], [7, 6], [3, 1], [3, 6], [5, 2], [8, 6], [1, 0], [1, 2], [4, 2]]","['S', 'C', 'N', 'N', 'C', 'N', 'C', 'C', 'O']"
2051,"[[7, 3], [7, 8], [3, 1], [3, 6], [5, 8], [5, 2], [1, 0], [1, 2], [4, 2]]","['C', 'N', 'C', 'C', 'O', 'C', 'O', 'N', 'N']"
20565,"[[7, 8], [7, 6], [7, 9], [3, 4], [3, 2], [5, 6], [5, 4], [1, 0], [1, 2], [0, 4]]","['O', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'O', 'C']"
20679,"[[7, 3], [3, 4], [3, 2], [5, 6], [5, 4], [1, 0], [1, 2]]","['N', 'C', 'N', 'C', 'N', 'C', 'O', 'N']"
20687,"[[7, 6], [3, 8], [3, 4], [3, 2], [5, 6], [5, 4], [1, 0], [1, 2]]","['N', 'C', 'N', 'C', 'N', 'C', 'O', 'C', 'N']"
20690,"[[7, 8], [7, 6], [3, 8], [3, 4], [3, 2], [5, 6], [5, 4], [1, 0], [1, 2]]","['N', 'C', 'N', 'C', 'N', 'C', 'O', 'C', 'N']"
20691,"[[7, 4], [3, 2], [3, 6], [3, 4], [5, 4], [1, 0], [1, 2]]","['N', 'C', 'N', 'C', 'N', 'C', 'N', 'C']"
20692,"[[7, 6], [3, 8], [3, 4], [3, 2], [5, 6], [5, 4], [1, 0], [1, 2]]","['N', 'C', 'N', 'C', 'N', 'C', 'C', 'C', 'N']"
20695,"[[7, 6], [3, 8], [3, 4], [3, 2], [5, 6], [5, 4], [1, 0], [1, 2]]","['N', 'C', 'N', 'C', 'N', 'C', 'C', 'O', 'N']"
20696,"[[7, 8], [7, 6], [3, 8], [3, 4], [3, 2], [5, 6], [5, 4], [1, 0], [1, 2], [9, 4]]","['N', 'C', 'N', 'C', 'N', 'C', 'O', 'C', 'N', 'C']"
20697,"[[7, 5], [3, 2], [3, 6], [3, 4], [5, 8], [5, 4], [1, 0], [1, 2]]","['N', 'C', 'N', 'C', 'N', 'C', 'N', 'C', 'C']"
2079,"[[7, 4], [3, 5], [3, 6], [3, 1], [8, 4], [1, 0], [0, 2], [4, 2]]","['N', 'C', 'C', 'C', 'C', 'C', 'N', 'C', 'N']"
2096,"[[3, 5], [3, 1], [5, 4], [6, 4], [1, 0], [1, 2], [4, 2]]","['N', 'C', 'C', 'N', 'C', 'N', 'O']"
2097,"[[7, 5], [7, 4], [3, 5], [3, 1], [6, 4], [1, 0], [1, 2], [4, 2]]","['C', 'C', 'O', 'C', 'S', 'C', 'O', 'O']"
21,"[[7, 6], [3, 1], [5, 1], [8, 6], [6, 2], [1, 0], [1, 4], [0, 2]]","['C', 'S', 'C', 'O', 'O', 'O', 'C', 'C', 'C']"
21019,"[[7, 6], [3, 2], [5, 4], [8, 0], [8, 1], [6, 4], [1, 0], [1, 2], [4, 2]]","['C', 'C', 'C', 'Cl', 'C', 'O', 'O', 'C', 'C']"
21043,"[[7, 8], [7, 6], [3, 2], [5, 4], [8, 9], [6, 4], [1, 0], [1, 4], [1, 2]]","['C', 'N', 'O', 'C', 'C', 'O', 'C', 'C', 'C', 'O']"
21071,"[[7, 0], [3, 4], [3, 2], [5, 6], [5, 4], [8, 6], [8, 9], [6, 0], [1, 0], [1, 2]]","['C', 'C', 'C', 'C', 'C', 'C', 'C', 'O', 'C', 'C']"
213,"[[3, 5], [3, 1], [5, 4], [6, 4], [1, 0], [1, 2], [4, 2]]","['C', 'C', 'C', 'N', 'C', 'N', 'O']"
21331,"[[7, 8], [7, 6], [3, 4], [3, 2], [5, 6], [5, 4], [6, 0], [1, 0], [1, 2], [9, 4]]","['N', 'C', 'C', 'N', 'C', 'C', 'C', 'O', 'C', 'O']"
21332,"[[7, 0], [3, 4], [3, 2], [5, 6], [5, 4], [8, 6], [6, 0], [1, 0], [1, 2], [9, 4]]","['N', 'C', 'C', 'N', 'C', 'C', 'C', 'C', 'C', 'O']"
2143,"[[7, 3], [7, 5], [3, 1], [3, 6], [5, 8], [5, 2], [1, 0], [1, 2], [4, 2]]","['O', 'C', 'N', 'C', 'C', 'C', 'Br', 'S', 'S']"
21733,"[[7, 6], [7, 4], [3, 5], [3, 4], [3, 2], [5, 6], [8, 0], [1, 0], [1, 4], [0, 2]]","['C', 'S', 'S', 'C', 'C', 'C', 'S', 'C', 'S']"
21823,"[[3, 2], [5, 4], [6, 4], [1, 0], [1, 2], [4, 2]]","['C', 'C', 'C', 'S', 'N', 'O', 'C']"
21824,"[[7, 5], [3, 0], [3, 5], [3, 4], [5, 6], [1, 0], [0, 2]]","['C', 'C', 'C', 'C', 'S', 'N', 'O', 'C']"
2195,"[[7, 2], [3, 0], [5, 1], [8, 4], [6, 2], [1, 0], [1, 4], [9, 4], [0, 2]]","['C', 'C', 'C', 'O', 'C', 'O', 'O', 'O', 'O', 'O']"
2198,"[[7, 6], [3, 1], [3, 6], [5, 2], [1, 0], [0, 2], [4, 2]]","['S', 'C', 'C', 'C', 'N', 'N', 'C', 'N']"
2204,"[[7, 3], [7, 8], [3, 1], [3, 6], [5, 8], [5, 2], [8, 9], [1, 0], [1, 2], [4, 2]]","['O', 'N', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'N']"
22330,"[[7, 6], [3, 1], [3, 6], [3, 4], [5, 4], [1, 0], [1, 2]]","['C', 'C', 'Br', 'N', 'C', 'C', 'C', 'C']"
22368,"[[7, 3], [7, 5], [3, 4], [3, 2], [5, 6], [5, 4], [8, 4], [8, 9], [1, 0], [1, 2], [0, 4]]","['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'O']"
2243,"[[7, 8], [7, 4], [3, 2], [5, 8], [5, 2], [8, 9], [6, 4], [1, 0], [0, 2], [4, 2]]","['C', 'C', 'C', 'C', 'C', 'C', 'O', 'N', 'C', 'O']"
22444,"[[7, 6], [3, 4], [3, 2], [5, 6], [5, 4], [1, 0], [1, 2]]","['N', 'C', 'C', 'C', 'N', 'C', 'C', 'S']"
22445,"[[0, 1], [1, 2], [3, 2]]","['S', 'C', 'C', 'N']"
22447,"[[3, 5], [3, 4], [3, 2], [6, 2], [1, 0], [1, 2]]","['S', 'C', 'C', 'C', 'O', 'O', 'N']"
2262,"[[7, 3], [7, 6], [3, 1], [3, 6], [5, 4], [5, 2], [8, 4], [6, 9], [1, 0], [0, 2], [4, 2]]","['S', 'S', 'N', 'N', 'C', 'C', 'C', 'C', 'C', 'C']"
22635,"[[7, 4], [3, 4], [3, 2], [5, 2], [6, 2], [1, 0], [1, 2], [0, 4]]","['C', 'N', 'S', 'N', 'C', 'O', 'O', 'O']"
227,"[[7, 5], [3, 5], [3, 2], [5, 8], [8, 6], [6, 4], [6, 9], [1, 0], [0, 2], [4, 2]]","['S', 'C', 'C', 'N', 'N', 'C', 'C', 'N', 'N', 'N']"
2274,"[[7, 5], [3, 5], [3, 2], [5, 8], [8, 6], [8, 9], [6, 4], [1, 0], [0, 2], [4, 2]]","['O', 'C', 'C', 'N', 'C', 'N', 'C', 'O', 'C', 'C']"
22766,"[[7, 6], [7, 4], [3, 5], [3, 4], [3, 2], [5, 6], [1, 0], [1, 2], [0, 4]]","['C', 'C', 'C', 'C', 'C', 'S', 'S', 'S']"
22993,"[[7, 8], [7, 6], [7, 9], [3, 8], [3, 4], [3, 2], [5, 0], [5, 4], [6, 2], [1, 0], [1, 2]]","['C', 'C', 'C', 'C', 'C', 'N', 'N', 'C', 'N', 'C']"
230,"[[7, 5], [7, 8], [3, 1], [5, 2], [8, 6], [6, 2], [1, 0], [1, 4], [0, 2]]","['N', 'C', 'C', 'N', 'N', 'N', 'N', 'N', 'N']"
2324,"[[3, 5], [3, 1], [5, 4], [6, 4], [1, 0], [1, 2], [4, 2]]","['N', 'C', 'N', 'S', 'C', 'S', 'S']"
23247,"[[7, 3], [3, 4], [3, 2], [5, 0], [5, 4], [8, 2], [6, 4], [1, 0], [1, 2], [1, 9]]","['N', 'C', 'C', 'C', 'C', 'C', 'O', 'O', 'O', 'C']"
23492,"[[7, 6], [3, 0], [3, 2], [5, 4], [6, 0], [1, 0], [1, 2], [0, 4]]","['C', 'C', 'O', 'C', 'C', 'Cl', 'C', 'Cl']"
23495,"[[7, 5], [7, 8], [3, 4], [3, 2], [5, 0], [5, 4], [5, 9], [6, 2], [1, 0], [1, 2]]","['C', 'O', 'S', 'O', 'C', 'C', 'O', 'C', 'O', 'C']"
2350,"[[7, 5], [7, 6], [3, 1], [3, 6], [5, 2], [8, 6], [1, 0], [1, 2], [4, 2]]","['N', 'C', 'C', 'N', 'N', 'C', 'C', 'N', 'N']"
23526,"[[7, 6], [3, 4], [3, 2], [5, 0], [5, 4], [8, 4], [8, 9], [6, 2], [1, 0], [1, 2]]","['O', 'C', 'C', 'S', 'C', 'C', 'C', 'S', 'C', 'S']"
23527,"[[7, 1], [7, 6], [3, 2], [5, 4], [8, 0], [8, 1], [6, 0], [1, 4], [0, 2]]","['C', 'C', 'C', 'S', 'C', 'S', 'C', 'C', 'S']"
23539,"[[7, 6], [7, 4], [3, 5], [3, 4], [3, 2], [5, 6], [1, 0], [1, 2], [0, 4]]","['C', 'C', 'S', 'C', 'C', 'S', 'N', 'N']"
23557,"[[7, 5], [7, 8], [3, 4], [3, 2], [5, 1], [5, 6], [1, 0], [1, 2], [0, 4]]","['N', 'C', 'C', 'S', 'N', 'C', 'O', 'O', 'C']"
23611,"[[7, 1], [7, 8], [3, 0], [3, 4], [5, 6], [5, 2], [8, 0], [6, 1], [4, 2]]","['S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C']"
23721,"[[7, 2], [3, 0], [3, 2], [3, 9], [5, 0], [8, 1], [6, 2], [1, 0], [1, 2], [0, 4]]","['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'S', 'O']"
23784,"[[7, 5], [7, 8], [7, 9], [3, 1], [5, 6], [5, 4], [1, 0], [1, 2], [1, 4]]","['F', 'C', 'F', 'F', 'P', 'C', 'F', 'N', 'C', 'C']"
2407,"[[7, 3], [7, 8], [7, 9], [3, 1], [5, 2], [6, 2], [1, 0], [0, 2], [4, 2]]","['C', 'N', 'C', 'N', 'Cl', 'Cl', 'Cl', 'C', 'N', 'N']"
2417,"[[7, 5], [7, 6], [3, 5], [3, 2], [6, 4], [1, 0], [0, 2], [4, 2]]","['N', 'O', 'C', 'C', 'C', 'C', 'C', 'C']"
2418,"[[7, 3], [7, 9], [3, 0], [5, 1], [5, 8], [8, 9], [6, 4], [6, 2], [1, 0], [1, 4], [0, 2]]","['C', 'N', 'N', 'C', 'N', 'C', 'N', 'C', 'C', 'C']"
242,"[[7, 1], [3, 0], [5, 1], [6, 1], [1, 0], [0, 4], [0, 2]]","['C', 'S', 'Br', 'Br', 'Br', 'O', 'O', 'O']"
24418,"[[7, 8], [7, 6], [3, 0], [3, 4], [5, 4], [6, 4], [1, 0], [0, 2]]","['C', 'C', 'C', 'N', 'N', 'O', 'N', 'O', 'C']"
2459,"[[7, 3], [3, 0], [5, 1], [8, 4], [6, 2], [1, 0], [1, 4], [0, 2]]","['N', 'C', 'C', 'C', 'O', 'O', 'O', 'O', 'C']"
2479,"[[7, 5], [3, 0], [5, 1], [6, 2], [1, 0], [0, 4], [0, 2]]","['C', 'C', 'C', 'C', 'O', 'C', 'N', 'C']"
24829,"[[7, 5], [3, 2], [5, 0], [5, 4], [6, 0], [1, 0], [1, 2], [4, 2]]","['C', 'S', 'C', 'O', 'S', 'C', 'C', 'C']"
250,"[[3, 5], [3, 1], [5, 4], [1, 0], [1, 2], [4, 2]]","['N', 'C', 'N', 'S', 'N', 'C']"
251,"[[7, 5], [7, 6], [3, 1], [3, 6], [5, 2], [8, 6], [1, 0], [1, 2], [4, 2]]","['C', 'N', 'C', 'C', 'S', 'S', 'N', 'C', 'C']"
25315,"[[7, 6], [3, 8], [3, 4], [3, 2], [5, 0], [5, 4], [8, 9], [6, 0], [1, 0], [1, 2]]","['C', 'C', 'C', 'C', 'O', 'O', 'O', 'C', 'C', 'O']"
25528,"[[7, 5], [3, 5], [3, 4], [3, 2], [5, 6], [1, 0], [1, 2], [0, 4]]","['C', 'C', 'S', 'C', 'S', 'C', 'O', 'O']"
25529,"[[7, 8], [7, 6], [3, 8], [3, 4], [3, 2], [5, 1], [5, 4], [6, 2], [6, 9], [1, 0], [0, 2]]","['C', 'C', 'C', 'C', 'C', 'C', 'N', 'N', 'N', 'N']"
257,"[[7, 5], [7, 8], [7, 6], [3, 5], [3, 2], [8, 9], [6, 4], [1, 0], [0, 2], [4, 2]]","['N', 'O', 'C', 'C', 'C', 'C', 'C', 'C', 'N', 'O']"
